Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Faixa Etária
Período:2022
"Município de residência";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"250030 ALAGOA GRANDE";1;12;19;18;10;37;33;3;1;6;1;141
"250050 ALAGOINHA";-;-;1;-;-;1;-;-;1;-;-;3
"250057 ALGODAO DE JANDAIRA";1;3;2;-;6;14;5;-;1;1;-;33
"250060 ALHANDRA";-;-;-;-;-;1;-;-;-;-;-;1
"250073 AMPARO";-;-;-;-;1;-;-;-;-;-;-;1
"250080 ARACAGI";1;-;1;2;-;3;3;-;-;-;-;10
"250090 ARARA";-;-;-;-;-;3;-;-;1;-;-;4
"250100 ARARUNA";-;1;-;-;1;1;-;-;-;-;-;3
"250110 AREIA";2;1;6;4;10;42;41;5;2;2;-;115
"250120 AREIAL";-;-;-;-;-;-;-;-;1;-;-;1
"250130 AROEIRAS";-;-;1;-;-;1;-;-;-;-;-;2
"250135 ASSUNCAO";-;-;-;-;-;-;-;-;-;1;-;1
"250140 BAIA DA TRAICAO";-;-;1;-;-;-;-;-;-;-;-;1
"250153 BARAUNA";1;1;-;1;6;6;7;-;1;-;-;23
"250160 BARRA DE SANTA ROSA";-;-;-;-;-;2;2;-;-;-;-;4
"250170 BARRA DE SAO MIGUEL";-;-;1;-;-;-;-;-;-;-;-;1
"250180 BAYEUX";-;-;-;-;-;4;3;-;-;-;-;7
"250200 BELEM DO BREJO DO CRUZ";-;-;-;-;-;1;-;-;-;-;-;1
"250210 BOA VENTURA";-;-;-;-;1;-;1;-;-;-;-;2
"250215 BOA VISTA";-;-;-;-;-;1;1;-;-;-;-;2
"250240 BONITO DE SANTA FE";-;-;-;1;-;-;-;-;-;-;-;1
"250250 BOQUEIRAO";-;-;-;1;1;5;1;-;-;-;-;8
"250260 IGARACY";-;-;-;-;-;-;1;-;-;-;-;1
"250280 BREJO DO CRUZ";-;-;1;-;-;2;-;-;-;-;-;3
"250290 BREJO DOS SANTOS";-;-;-;-;-;1;-;-;-;1;-;2
"250310 CABACEIRAS";-;-;-;-;-;1;3;-;-;-;-;4
"250320 CABEDELO";1;1;4;1;1;4;7;-;2;-;-;21
"250330 CACHOEIRA DOS INDIOS";-;-;-;-;-;-;-;1;-;-;-;1
"250350 CACIMBA DE DENTRO";-;-;-;-;2;-;1;-;-;-;-;3
"250360 CAICARA";-;-;-;-;-;2;-;-;-;-;-;2
