Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Mês notificação
Período:2022
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"250030 ALAGOA GRANDE";-;1;5;13;28;26;34;14;8;7;2;3;141
"250050 ALAGOINHA";-;1;1;-;1;-;-;-;-;-;-;-;3
"250057 ALGODAO DE JANDAIRA";3;-;-;2;-;10;13;3;-;2;-;-;33
"250060 ALHANDRA";-;-;1;-;-;-;-;-;-;-;-;-;1
"250073 AMPARO";-;-;1;-;-;-;-;-;-;-;-;-;1
"250080 ARACAGI";-;-;-;7;2;-;1;-;-;-;-;-;10
"250090 ARARA";-;1;-;2;1;-;-;-;-;-;-;-;4
"250100 ARARUNA";1;-;1;-;-;-;-;-;1;-;-;-;3
"250110 AREIA";-;27;26;17;2;12;12;8;8;2;1;-;115
"250120 AREIAL";-;-;-;-;-;-;-;1;-;-;-;-;1
"250130 AROEIRAS";-;-;-;-;-;2;-;-;-;-;-;-;2
"250135 ASSUNCAO";-;1;-;-;-;-;-;-;-;-;-;-;1
"250140 BAIA DA TRAICAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"250153 BARAUNA";-;1;-;1;6;6;2;1;-;-;5;1;23
"250160 BARRA DE SANTA ROSA";-;-;2;-;1;1;-;-;-;-;-;-;4
"250170 BARRA DE SAO MIGUEL";-;-;-;-;-;-;1;-;-;-;-;-;1
"250180 BAYEUX";-;3;1;-;2;1;-;-;-;-;-;-;7
"250200 BELEM DO BREJO DO CRUZ";-;-;-;-;-;-;-;1;-;-;-;-;1
"250210 BOA VENTURA";-;-;2;-;-;-;-;-;-;-;-;-;2
"250215 BOA VISTA";-;-;-;1;1;-;-;-;-;-;-;-;2
"250240 BONITO DE SANTA FE";-;-;-;-;-;-;-;-;-;1;-;-;1
"250250 BOQUEIRAO";-;-;-;-;5;1;-;2;-;-;-;-;8
"250260 IGARACY";-;-;-;-;-;1;-;-;-;-;-;-;1
"250280 BREJO DO CRUZ";-;-;2;-;-;1;-;-;-;-;-;-;3
"250290 BREJO DOS SANTOS";-;1;-;-;-;-;-;1;-;-;-;-;2
"250310 CABACEIRAS";1;-;-;-;2;1;-;-;-;-;-;-;4
"250320 CABEDELO";-;-;4;6;4;5;2;-;-;-;-;-;21
"250330 CACHOEIRA DOS INDIOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"250350 CACIMBA DE DENTRO";-;-;-;-;3;-;-;-;-;-;-;-;3
"250360 CAICARA";-;-;-;-;2;-;-;-;-;-;-;-;2
"250370 CAJAZEIRAS";-;-;-;-;-;-;1;-;-;1;-;-;2
"250380 CALDAS BRANDAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"250390 CAMALAU";-;-;-;-;-;1;-;-;-;-;-;-;1
"250400 CAMPINA GRANDE";10;25;45;47;163;46;27;7;5;4;-;1;380
"250415 CASSERENGUE";-;1;-;2;2;-;-;-;-;-;-;-;5
"250430 CATOLE DO ROCHA";-;-;-;-;1;3;4;7;2;-;1;-;18
"250435 CATURITE";-;-;-;-;-;-;1;3;-;-;-;-;4
"250460 CONDE";-;-;-;-;-;-;-;-;1;-;-;-;1
"250480 COREMAS";1;3;-;-;-;-;-;-;1;-;-;-;5
"250490 CRUZ DO ESPIRITO SANTO";-;4;1;1;2;-;-;-;-;-;-;-;8
"250500 CUBATI";-;7;103;34;5;4;2;-;-;-;-;-;155
"250510 CUITE";-;-;-;1;2;-;1;2;1;-;-;-;7
"250520 CUITEGI";-;-;1;-;-;-;-;-;-;-;-;-;1
"250523 CUITE DE MAMANGUAPE";-;1;-;-;-;-;-;-;-;-;-;-;1
"250535 DAMIAO";-;-;-;-;1;-;-;-;-;-;-;-;1
