Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Sexo
Período:2023
"Município de residência";"Masculino";"Feminino";"Total"
"250030 ALAGOA GRANDE";11;13;24
"250040 ALAGOA NOVA";1;2;3
"250050 ALAGOINHA";1;1;2
"250060 ALHANDRA";1;-;1
"250110 AREIA";5;7;12
"250135 ASSUNCAO";-;1;1
"250153 BARAUNA";1;4;5
"250170 BARRA DE SAO MIGUEL";-;1;1
"250180 BAYEUX";-;2;2
"250250 BOQUEIRAO";1;-;1
"250300 CAAPORA";-;1;1
"250310 CABACEIRAS";-;3;3
"250320 CABEDELO";4;2;6
"250330 CACHOEIRA DOS INDIOS";2;2;4
"250380 CALDAS BRANDAO";1;-;1
"250400 CAMPINA GRANDE";7;14;21
"250415 CASSERENGUE";1;-;1
"250430 CATOLE DO ROCHA";-;4;4
"250480 COREMAS";1;-;1
"250500 CUBATI";-;2;2
"250510 CUITE";-;1;1
"250600 ESPERANCA";1;1;2
"250620 FREI MARTINHO";1;-;1
"250625 GADO BRAVO";2;-;2
"250630 GUARABIRA";1;1;2
"250640 GURINHEM";1;-;1
"250710 ITAPOROROCA";1;1;2
"250750 JOAO PESSOA";36;43;79
"250770 JUAZEIRINHO";-;1;1
"250800 JURU";2;1;3
"250830 LAGOA SECA";-;1;1
"250890 MAMANGUAPE";1;-;1
"250970 MONTEIRO";3;4;7
"250990 NATUBA";3;8;11
"251010 NOVA FLORESTA";2;6;8
"251030 NOVA PALMEIRA";2;1;3
"251050 OLIVEDOS";-;2;2
"251110 PEDRA LAVRADA";-;1;1
"251130 PIANCO";-;2;2
"251140 PICUI";3;12;15
"251180 PIRPIRITUBA";-;1;1
"251250 QUEIMADAS";3;4;7
"251270 REMIGIO";-;1;1
"251278 RIACHO DE SANTO ANTONIO";2;1;3
"251290 RIO TINTO";1;-;1
"251315 SANTA CECILIA";1;1;2
"251370 SANTA RITA";5;3;8
"251410 SAO JOAO DO TIGRE";-;2;2
"251420 SAO JOSE DA LAGOA TAPADA";1;-;1
"251500 SAO MIGUEL DE TAIPU";1;-;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";1;1;2
"251540 SAO VICENTE DO SERIDO";-;1;1
"251550 SERRA BRANCA";1;1;2
"251590 SERRARIA";-;1;1
"251600 SOLANEA";-;2;2
"251615 SOSSEGO";-;1;1
"251620 SOUSA";1;1;2
"251630 SUME";1;1;2
"251650 TAPEROA";1;-;1
"251700 UMBUZEIRO";3;4;7
"251710 VARZEA";-;3;3
"251720 VIEIROPOLIS";1;-;1
"Total";119;174;293
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
