Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Sexo
Período:2020
"Município de residência";"Masculino";"Feminino";"Total"
"250010 AGUA BRANCA";-;3;3
"250030 ALAGOA GRANDE";7;18;25
"250040 ALAGOA NOVA";8;10;18
"250060 ALHANDRA";1;-;1
"250100 ARARUNA";2;6;8
"250110 AREIA";4;2;6
"250120 AREIAL";-;2;2
"250130 AROEIRAS";1;-;1
"250140 BAIA DA TRAICAO";-;1;1
"250150 BANANEIRAS";1;-;1
"250153 BARAUNA";2;2;4
"250157 BARRA DE SANTANA";1;1;2
"250180 BAYEUX";3;1;4
"250215 BOA VISTA";2;1;3
"250220 BOM JESUS";1;2;3
"250250 BOQUEIRAO";4;-;4
"250270 BORBOREMA";1;6;7
"250280 BREJO DO CRUZ";1;-;1
"250310 CABACEIRAS";1;1;2
"250320 CABEDELO";2;2;4
"250330 CACHOEIRA DOS INDIOS";-;1;1
"250370 CAJAZEIRAS";1;-;1
"250380 CALDAS BRANDAO";1;1;2
"250400 CAMPINA GRANDE";76;119;195
"250415 CASSERENGUE";1;-;1
"250430 CATOLE DO ROCHA";-;3;3
"250435 CATURITE";3;8;11
"250440 CONCEICAO";-;1;1
"250450 CONDADO";-;1;1
"250460 CONDE";-;1;1
"250490 CRUZ DO ESPIRITO SANTO";1;-;1
"250500 CUBATI";-;1;1
"250510 CUITE";5;4;9
"250550 VISTA SERRANA";6;14;20
"250600 ESPERANCA";2;2;4
"250610 FAGUNDES";1;2;3
"250630 GUARABIRA";1;-;1
"250640 GURINHEM";-;1;1
"250680 INGA";2;1;3
"250750 JOAO PESSOA";48;75;123
"250770 JUAZEIRINHO";2;1;3
"250910 MARI";1;-;1
"250920 MASSARANDUBA";-;3;3
"250950 MONTADAS";1;-;1
"250970 MONTEIRO";4;7;11
"250990 NATUBA";1;-;1
"251050 OLIVEDOS";1;-;1
"251080 PATOS";1;-;1
"251110 PEDRA LAVRADA";3;4;7
"251140 PICUI";1;2;3
"251190 PITIMBU";1;-;1
"251200 POCINHOS";3;3;6
"251203 POCO DANTAS";1;-;1
"251210 POMBAL";6;4;10
"251240 PUXINANA";2;-;2
"251250 QUEIMADAS";10;22;32
"251270 REMIGIO";-;1;1
"251272 PEDRO REGIS";1;4;5
"251275 RIACHAO DO BACAMARTE";-;1;1
"251278 RIACHO DE SANTO ANTONIO";-;1;1
"251290 RIO TINTO";1;-;1
"251315 SANTA CECILIA";6;9;15
"251340 SANTA LUZIA";-;1;1
"251350 SANTANA DE MANGUEIRA";1;-;1
"251370 SANTA RITA";-;7;7
"251390 SAO BENTO";1;1;2
"251410 SAO JOAO DO TIGRE";1;1;2
"251490 SAO MAMEDE";1;-;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;1;1
"251530 SAPE";-;1;1
"251540 SAO VICENTE DO SERIDO";1;-;1
"251597 SOBRADO";-;1;1
"251610 SOLEDADE";1;-;1
"251620 SOUSA";-;2;2
"251650 TAPEROA";1;-;1
"251690 UIRAUNA";-;2;2
"251700 UMBUZEIRO";4;4;8
"251740 ZABELE";1;-;1
"Total";248;376;624
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
