Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Mês notificação
Período:2021
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"250020 AGUIAR";-;-;-;-;-;2;-;-;-;-;-;-;2
"250030 ALAGOA GRANDE";-;-;1;1;-;24;31;17;17;10;4;3;108
"250040 ALAGOA NOVA";1;19;36;40;44;11;3;4;1;-;1;-;160
"250050 ALAGOINHA";-;-;-;-;-;-;-;2;-;-;-;-;2
"250057 ALGODAO DE JANDAIRA";-;-;-;3;8;6;4;1;1;2;2;-;27
"250060 ALHANDRA";-;-;-;-;-;-;-;-;-;1;-;-;1
"250090 ARARA";-;-;-;-;2;12;2;-;-;-;-;-;16
"250110 AREIA";-;-;-;3;10;16;9;16;7;4;2;1;68
"250130 AROEIRAS";-;-;-;-;-;-;7;2;-;-;-;-;9
"250135 ASSUNCAO";-;-;-;-;-;-;1;1;2;5;3;1;13
"250150 BANANEIRAS";-;-;-;-;-;-;2;-;-;-;1;-;3
"250153 BARAUNA";-;-;2;3;2;-;3;-;-;1;-;-;11
"250157 BARRA DE SANTANA";-;-;-;-;-;7;3;-;-;-;-;-;10
"250170 BARRA DE SAO MIGUEL";-;-;-;-;-;-;-;-;1;1;-;-;2
"250180 BAYEUX";-;-;-;-;-;-;1;-;3;1;2;-;7
"250215 BOA VISTA";-;1;1;-;2;-;-;1;-;-;-;-;5
"250250 BOQUEIRAO";-;-;-;2;-;-;1;-;-;-;1;-;4
"250270 BORBOREMA";-;-;-;-;-;-;-;-;-;-;-;1;1
"250280 BREJO DO CRUZ";-;-;-;-;1;-;-;-;-;-;-;-;1
"250290 BREJO DOS SANTOS";-;-;1;-;-;-;3;1;-;-;-;-;5
"250300 CAAPORA";-;-;-;-;-;-;-;1;-;-;-;-;1
"250310 CABACEIRAS";-;-;-;-;-;4;4;-;-;-;-;-;8
"250320 CABEDELO";-;2;2;3;26;127;100;5;3;-;2;-;270
"250330 CACHOEIRA DOS INDIOS";-;-;4;1;-;6;-;-;1;-;-;-;12
"250350 CACIMBA DE DENTRO";-;-;-;-;-;1;-;-;-;-;-;-;1
"250390 CAMALAU";-;-;-;-;-;-;-;-;-;1;-;-;1
"250400 CAMPINA GRANDE";5;4;3;6;7;16;27;12;30;17;18;3;148
"250403 CAPIM";-;-;-;-;-;-;-;-;-;-;1;-;1
"250415 CASSERENGUE";-;-;-;1;2;1;5;1;-;-;-;-;10
"250430 CATOLE DO ROCHA";-;-;2;1;-;1;10;-;-;-;-;-;14
"250435 CATURITE";-;-;-;-;-;-;3;4;13;5;-;1;26
"250460 CONDE";-;-;1;-;9;5;1;1;-;1;-;-;18
"250480 COREMAS";-;-;-;-;-;-;-;-;-;-;4;-;4
"250485 COXIXOLA";-;-;-;-;-;-;1;-;-;-;-;-;1
"250500 CUBATI";-;-;-;-;-;-;2;5;-;-;-;-;7
"250510 CUITE";1;-;1;9;13;9;1;2;1;-;-;-;37
"250523 CUITE DE MAMANGUAPE";-;-;-;-;-;1;-;-;-;-;-;-;1
"250527 CURRAL DE CIMA";-;-;2;-;5;6;1;-;-;1;-;-;15
"250540 DESTERRO";-;-;-;-;-;-;-;1;-;-;-;-;1
"250570 DONA INES";-;-;-;-;-;-;-;1;-;-;-;-;1
"250600 ESPERANCA";-;-;-;-;-;5;19;26;5;2;-;-;57
"250610 FAGUNDES";-;-;-;1;1;-;-;-;-;-;1;-;3
"250630 GUARABIRA";-;-;-;-;-;-;-;-;-;-;-;2;2
"250660 IBIARA";-;-;-;-;-;-;-;-;-;-;1;1;2
"250680 INGA";-;-;-;-;-;1;7;2;4;-;-;-;14
"250690 ITABAIANA";-;-;-;-;-;2;-;-;-;-;-;1;3
"250700 ITAPORANGA";-;-;-;-;1;-;-;-;-;-;-;-;1
"250710 ITAPOROROCA";5;6;13;2;-;-;-;-;-;-;-;-;26
"250740 JERICO";-;-;-;-;-;-;-;-;-;-;-;1;1
"250750 JOAO PESSOA";3;6;2;13;28;61;84;57;36;46;49;22;407
"250760 JUAREZ TAVORA";-;-;-;-;-;-;-;-;2;1;-;-;3
"250770 JUAZEIRINHO";-;-;-;-;3;9;2;-;-;-;-;-;14
"250780 JUNCO DO SERIDO";1;-;-;-;-;-;-;-;-;-;-;-;1
"250830 LAGOA SECA";-;-;-;-;1;-;1;-;-;-;-;-;2
"250850 LIVRAMENTO";-;-;-;1;-;-;-;-;-;-;-;-;1
"250880 MALTA";-;-;-;-;-;-;1;-;-;-;-;-;1
"250890 MAMANGUAPE";-;1;1;1;23;18;-;-;-;1;-;-;45
"250905 MARCACAO";-;-;-;-;-;-;2;-;-;-;-;-;2
"250910 MARI";-;-;-;-;-;-;-;-;-;-;-;1;1
"250930 MATARACA";-;-;-;-;-;-;-;-;-;-;1;-;1
"250940 MOGEIRO";-;-;-;-;-;-;-;2;-;-;-;-;2
"250950 MONTADAS";-;-;-;2;-;-;-;-;-;-;-;-;2
"250970 MONTEIRO";2;1;3;6;5;6;4;-;2;-;-;-;29
"250990 NATUBA";-;-;-;-;4;5;-;-;2;1;1;-;13
"251010 NOVA FLORESTA";1;-;1;1;7;12;10;9;5;6;6;-;58
"251030 NOVA PALMEIRA";-;-;1;-;-;-;-;-;-;-;1;-;2
"251050 OLIVEDOS";-;-;-;-;1;3;9;-;2;1;-;2;18
"251080 PATOS";-;-;-;-;1;7;4;-;-;-;-;1;13
"251110 PEDRA LAVRADA";-;-;-;-;-;-;1;-;-;-;-;-;1
"251120 PEDRAS DE FOGO";-;-;-;-;-;-;-;-;-;1;-;-;1
"251140 PICUI";-;-;-;2;-;-;4;-;-;-;-;-;6
"251150 PILAR";-;-;-;1;-;-;23;8;5;9;8;4;58
"251180 PIRPIRITUBA";-;-;-;-;-;-;-;-;-;-;1;-;1
"251200 POCINHOS";-;-;-;-;-;-;1;-;-;-;1;-;2
"251210 POMBAL";-;1;-;-;-;-;-;-;-;-;-;-;1
