Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Sexo
Período:2021
"Município de residência";"Masculino";"Feminino";"Total"
"250020 AGUIAR";-;2;2
"250030 ALAGOA GRANDE";44;64;108
"250040 ALAGOA NOVA";52;108;160
"250050 ALAGOINHA";1;1;2
"250057 ALGODAO DE JANDAIRA";17;10;27
"250060 ALHANDRA";1;-;1
"250090 ARARA";8;8;16
"250110 AREIA";28;40;68
"250130 AROEIRAS";1;8;9
"250135 ASSUNCAO";2;11;13
"250150 BANANEIRAS";2;1;3
"250153 BARAUNA";4;7;11
"250157 BARRA DE SANTANA";7;3;10
"250170 BARRA DE SAO MIGUEL";2;-;2
"250180 BAYEUX";2;5;7
"250215 BOA VISTA";2;3;5
"250250 BOQUEIRAO";-;4;4
"250270 BORBOREMA";-;1;1
"250280 BREJO DO CRUZ";1;-;1
"250290 BREJO DOS SANTOS";3;2;5
"250300 CAAPORA";-;1;1
"250310 CABACEIRAS";1;7;8
"250320 CABEDELO";101;169;270
"250330 CACHOEIRA DOS INDIOS";4;8;12
"250350 CACIMBA DE DENTRO";1;-;1
"250390 CAMALAU";1;-;1
"250400 CAMPINA GRANDE";48;100;148
"250403 CAPIM";1;-;1
"250415 CASSERENGUE";3;7;10
"250430 CATOLE DO ROCHA";3;11;14
"250435 CATURITE";10;16;26
"250460 CONDE";6;12;18
"250480 COREMAS";2;2;4
"250485 COXIXOLA";1;-;1
"250500 CUBATI";3;4;7
"250510 CUITE";10;27;37
"250523 CUITE DE MAMANGUAPE";-;1;1
"250527 CURRAL DE CIMA";6;9;15
"250540 DESTERRO";-;1;1
"250570 DONA INES";1;-;1
"250600 ESPERANCA";18;39;57
"250610 FAGUNDES";2;1;3
"250630 GUARABIRA";-;2;2
"250660 IBIARA";2;-;2
"250680 INGA";5;9;14
"250690 ITABAIANA";2;1;3
"250700 ITAPORANGA";-;1;1
"250710 ITAPOROROCA";9;17;26
"250740 JERICO";1;-;1
"250750 JOAO PESSOA";148;259;407
"250760 JUAREZ TAVORA";1;2;3
"250770 JUAZEIRINHO";3;11;14
"250780 JUNCO DO SERIDO";1;-;1
"250830 LAGOA SECA";2;-;2
"250850 LIVRAMENTO";1;-;1
"250880 MALTA";1;-;1
"250890 MAMANGUAPE";15;30;45
"250905 MARCACAO";1;1;2
"250910 MARI";1;-;1
"250930 MATARACA";-;1;1
"250940 MOGEIRO";2;-;2
"250950 MONTADAS";2;-;2
"250970 MONTEIRO";9;20;29
"250990 NATUBA";6;7;13
"251010 NOVA FLORESTA";21;37;58
"251030 NOVA PALMEIRA";1;1;2
"251050 OLIVEDOS";10;8;18
"251080 PATOS";3;10;13
"251110 PEDRA LAVRADA";-;1;1
"251120 PEDRAS DE FOGO";1;-;1
"251140 PICUI";3;3;6
"251150 PILAR";27;31;58
"251180 PIRPIRITUBA";-;1;1
"251200 POCINHOS";2;-;2
"251210 POMBAL";-;1;1
"251220 PRATA";2;6;8
"251240 PUXINANA";2;1;3
"251250 QUEIMADAS";170;318;488
"251260 QUIXABA";2;1;3
"251270 REMIGIO";23;42;65
"251275 RIACHAO DO BACAMARTE";-;1;1
"251370 SANTA RITA";5;16;21
"251390 SAO BENTO";1;1;2
"251400 SAO JOAO DO CARIRI";-;11;11
"251445 SAO JOSE DOS RAMOS";-;2;2
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";7;18;25
"251530 SAPE";1;-;1
"251540 SAO VICENTE DO SERIDO";-;2;2
"251550 SERRA BRANCA";1;1;2
"251600 SOLANEA";1;-;1
"251610 SOLEDADE";1;-;1
"251615 SOSSEGO";-;2;2
"251620 SOUSA";4;5;9
"251630 SUME";1;-;1
"251700 UMBUZEIRO";31;24;55
"Total";931;1598;2529
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
